Van Cortlandt Park,park
Seton Falls Park,park
Pelham Bay Park,park
Saint  Raymond's Cemetery,cemetery
Ferry Point Park,park
Sound View Park,park
Zoo/Wildlife Conser. Park,park
Saint Mary's Park,park
Fort Tryon Park,park
Marcus Garvey Park,park
Randall's Island Park,park
Ward's Island Park,park
Owls Head Park,park
Dyker Beach Park,park
Canarsie Beach Park,park
Baisley Pond Park,park
Roy Wilkins Park,park
Linden Hill Cemetery,cemetery
Mount Hebron Cemetery,cemetery
Clearview Park,park
Alley Pond Park,park
New Calvary Cemetery,cemetery
Silver Lake Park,park
Clove Lakes Park,park
Great Kills Park,park
Blue Heron Park,park
Wolfe's Pond Park,park
Conference House Park,park
47th Street - The Diamond District,tourist spot
9/11 Memorial & Museum,tourist spot
Abyssinian Baptist Church,tourist spot
Alice Austen House Museum,tourist spot
Alice Tully Hall,tourist spot
Alvin Ailey American Dance Theate,tourist spot
American Girl Place,tourist spot
American Museum of Natural History,tourist spot
Apollo Theater,tourist spot
arts>Brookfield Place,tourist spot
Barclays Center,tourist spot
Bartow-Pell Mansion Museum,tourist spot
Bateaux New York,tourist spot
Bronx Brewery,tourist spot
Bronx Library Center,tourist spot
Bronx Zoo,tourist spot
Brooklyn Botanic Garden,tourist spot
Brooklyn Bridge,tourist spot
Brooklyn Heights Promenade,tourist spot
Brooklyn Historical Society,tourist spot
Brooklyn Navy Yard,tourist spot
Brooklyn Nets,tourist spot
Brooklyn Public Library,tourist spot
Calvary Cemetery,tourist spot
Carnegie Hall,tourist spot
Cathedral Church of St. John the Divine,tourist spot
Central Park Conservancy—Official Central Park Tours,tourist spot
Charles A. Dana Discovery Center/Harlem Meer,tourist spot
Chelsea Craft Brewing Company,tourist spot
Chelsea Piers Sports & Entertainment Complex,tourist spot
Chrysler Building,tourist spot
Circle Line Downtown,tourist spot
Circle Line Sightseeing Cruises,tourist spot
City Hall,tourist spot
City Hall Park,tourist spot
Classic Harbor Line LLC,tourist spot
Clove Lakes Park,tourist spot
Coney Island Brewing Company,tourist spot
Coney Island Circus Sideshow,tourist spot
Delacorte Theate,tourist spot
Douglaston Golf Course,tourist spot
Duffy Square,tourist spot
Ellis Island,tourist spot
Ellis Island National Museum of Immigration,tourist spot
Ellis Island/American Family Immigration History Center,tourist spot
Empire State Building Experience,tourist spot
FDNY Fire Zone,tourist spot
Flatiron Building,tourist spot
Flushing Meadows Corona Park,tourist spot
Fort Tryon Park,tourist spot
Governors Island,tourist spot
Gramercy Park,tourist spot
Grand Army Plaza,tourist spot
Grand Army Plaza Memorial Arch,tourist spot
Grand Central Terminal,tourist spot
Green-Wood Cemetery,tourist spot
Greenbelt Nature Center,tourist spot
Gulliver's Gate,tourist spot
Hell Gate Bridge,tourist spot
Hershey's Chocolate World Times Square,tourist spot
Historic Richmond Town,tourist spot
Holographic Studios,tourist spot
Hunters Point Community Library,tourist spot
"Intrepid Sea, Air & Space Museum",tourist spot
Irish Hunger Memorial,tourist spot
Jacqueline Kennedy Onassis Reservoir,tourist spot
James A. Farley Post Office,tourist spot
Jane's Carousel,tourist spot
Jazz at Lincoln Center,tourist spot
Jeffrey's Hook Lighthouse,tourist spot
Loeb Central Park Boathouse,tourist spot
Luna Park at Coney Island,tourist spot
Macy's Herald Square,tourist spot
Madison Square Garden,tourist spot
Mahayana Buddhist Temple,tourist spot
McCarren Park,tourist spot
Museum at Eldridge Street Synagogue,tourist spot
Museum Mile,tourist spot
Museum of American Finance,tourist spot
Mystery Room NYC,tourist spot
National Geographic Encounter: Ocean Odyssey,tourist spot
National Parks of New York Harbor,tourist spot
New York Botanical Garden,tourist spot
New York City FC,tourist spot
New York Giants,tourist spot
New York Hall of Science,tourist spot
New York Knicks,tourist spot
"New York Public Library, Stephen A. Schwarzman Building",tourist spot
New York Rangers,tourist spot
New York Transit Museum,tourist spot
New York Wheel,tourist spot
New York Yankees,tourist spot
Official NYC Information Center at Macy's Herald Square,tourist spot
Old Stone House,tourist spot
One World Observatory,tourist spot
Parachute Jump,tourist spot
Paradise Theater,tourist spot
Pepsi-Cola Sign,tourist spot
Plymouth Church of the Pilgrims,tourist spot
Poe Park,tourist spot
Prospect Park,tourist spot
Prospect Park Audubon Center,tourist spot
Prospect Park Carousel,tourist spot
Prospect Park Lake,tourist spot
Prospect Park Litchfield Villa,tourist spot
Prospect Park Zoo,tourist spot
Queens Museum,tourist spot
Queens Zoo,tourist spot
Queensboro Bridge,tourist spot
Radio City Music Hall,tourist spot
Resorts World Casino New York City,tourist spot
Ripley's Believe It or Not! Times Square,tourist spot
Riverside Park,tourist spot
Rockefeller Center,tourist spot
Roosevelt Island,tourist spot
Roundabout Theatre Company,tourist spot
Sail the Park,tourist spot
Schomburg Center for Research in Black Culture,tourist spot
SeaGlass Carousel,tourist spot
Seaport District NYC,tourist spot
"Sheep Meadow, Central Park",tourist spot
Sleep No More,tourist spot
Socrates Sculpture Park,tourist spot
Solomon R. Guggenheim Museum,tourist spot
South Street Seaport Museum,tourist spot
Spirit of New York,tourist spot
St. Patrick's Cathedral,tourist spot
St. Patrick’s Old Cathedra,tourist spot
St. Paul's Chapel,tourist spot
Staten Island Borough Hall,tourist spot
Staten Island Ferry,tourist spot
Staten Island September 11 Memorial,tourist spot
Staten Island Yankees,tourist spot
Staten Island Zoo,tourist spot
Statue of Liberty National Monument,tourist spot
Strawberry Fields/Imagine Mosaic,tourist spot
The Church of St. Luke in the Fields,tourist spot
The Cyclone,tourist spot
The Frick Collection,tourist spot
The High Line,tourist spot
The Met Breuer,tourist spot
The Met Cloisters,tourist spot
The Met Fifth Avenue,tourist spot
The Metropolitan Opera,tourist spot
The Museum of Modern Art (MoMA),tourist spot
The New York Chinese Scholar's Garden,tourist spot
The New York Pass,tourist spot
The New-York Historical Society,tourist spot
The PIT,tourist spot
The Plaza Hotel,tourist spot
The Ride,tourist spot
The Rink at Rockefeller Center,tourist spot
The Riverside Church New York City,tourist spot
The Tenement Museum,tourist spot
The Thunderbolt,tourist spot
The Tour at NBC Studios,tourist spot
The Town Hall,tourist spot
Theodore Roosevelt Birthplace,tourist spot
Times Square,tourist spot
Top of the Rock Observation Deck,tourist spot
Turtle Pond,tourist spot
Underpenny Plane and Cast Iron Museum,tourist spot
United Nations,tourist spot
United Palace House of Inspiration,tourist spot
USTA Billie Jean King National Tennis Center,tourist spot
Van Cortlandt House Museum,tourist spot
Verrazano-Narrows Bridge,tourist spot
Victorian Gardens Amusement Park (Central Park),tourist spot
VR World NYC,tourist spot
Wall Street,tourist spot
Washington Square Park,tourist spot
Waterfront at Brookfield Place,tourist spot
Wave Hill,tourist spot
Wildlife Conservation Society,tourist spot
Williamsburg Bridge,tourist spot
Woodlawn Cemetery,tourist spot
World Trade Center Transportation Hub,tourist spot
Wyckoff Farmhouse Museum,tourist spot
African Burial Ground National Monument,tourist spot
Manhattan Bridge,tourist spot
Conservatory Garden,tourist spot
Mount Vernon Hotel Museum & Garden,tourist spot
St. George Theatre,tourist spot
Explorer Pass,tourist spot
Wollman Rink,tourist spot
Friedsam Memorial Carousel,tourist spot
Japan Society,tourist spot
FDNY Fire Zone Rockefeller Center ,tourist spot
TimeLooper`,tourist spot
"On Location Tours, Inc.",tourist spot
Snug Harbor Cultural Center & Botanical Garden,tourist spot
Voilà Chocolat,tourist spot
Central Park Zoo,tourist spot
Asser Levy/Seaside Park,tourist spot
Woolworth Building,tourist spot
Brookfield Place,tourist spot
New York Mets,tourist spot
Onassis Cultural Center New York,tourist spot
Official NYC Information Center–South Street Seaport,tourist spot
Fort Wadsworth,tourist spot
Deno's Wonder Wheel Amusement Park,tourist spot
Bethesda Terrace/Fountain,tourist spot
George Washington Bridge,tourist spot
The Public Theate,tourist spot
Washington Street between Front and Water Streets,tourist spot
Brooklyn Bridge Park,tourist spot
Tompkins Square Park,tourist spot
Lincoln Center for the Performing Arts,tourist spot
National Park Service,tourist spot
Belvedere Castle,tourist spot
Sunset Park,tourist spot
Official NYC Information Center (Times Square),tourist spot
Morris-Jumel Mansion,tourist spot
Conservatory Water,tourist spot
Madame Tussauds New York,tourist spot
Whitney Museum of American Art,tourist spot
Coney Island History Project,tourist spot
United Palace Theatre,tourist spot
Central Park,tourist spot
Bank of America Winter Village at Bryant Park,tourist spot
New York City Ballet,tourist spot
Museum of Sex,tourist spot
Coney Island,tourist spot
Unbreakable Kimmy Schmidt Apartment,tourist spot
Bryant Park,tourist spot
New York Rangers,tourist spot
Citi Field,tourist spot
Queens Botanical Garden,tourist spot
Prospect Park Bandshell,tourist spot
Prospect Park Concert Grove,tourist spot
The Mall and Literary Walk,tourist spot
IFC Center,tourist spot
Andrew Heiskell Braille and Talking Book Library,tourist spot
Brooklyn Borough Hall,tourist spot
New York Aquarium,tourist spot
Yankee Stadium,tourist spot
High Bridge,tourist spot
One World Trade Center,tourist spot
9/11 Memorial Museum Store,tourist spot
Madison Square Park,tourist spot
New York Philharmonic,tourist spot
Gracie Mansion,tourist spot
Trinity Wall Street,tourist spot
Brooklyn Cyclones,tourist spot
Bronx Zoo Treetop Adventure,tourist spot
West 4th Street Courts,tourist spot
Staten Island Yankees,tourist spot
Manhattan by Sail,tourist spot
Manhattan by Sail,tourist spot
Museum of American Finance,tourist spot
New York Stock Exchange,tourist spot
Hook & Ladder Company 8,tourist spot
Grand Masonic Lodge of New York,tourist spot
St. Mark’s Place,tourist spot
