Van Cortlandt Park,park
Seton Falls Park,park
Pelham Bay Park,park
Saint  Raymond's Cemetery,cemetery
Ferry Point Park,park
Sound View Park,park
Zoo/Wildlife Conser. Park,park
Saint Mary's Park,park
Fort Tryon Park,park
Owls Head Park,park
Marcus Garvey Park,park
Linden Hill Cemetery,cemetery
Mount Hebron Cemetery,cemetery
New Calvary Cemetery,cemetery
47th Street - The Diamond District,tourist spot
9/11 Memorial & Museum,tourist spot
American Girl Place,tourist spot
Brooklyn Nets,tourist spot
Brooklyn Public Library,tourist spot
City Hall,tourist spot
City Hall Park,tourist spot
FDNY Fire Zone,tourist spot
Hell Gate Bridge,tourist spot
Madison Square Garden,tourist spot
Facility Name,health
La Clinica Del Barrio,health
Elmhurst Hospital Center,health
Ida G. Israel Community Health Center,health
South Queens Community Health Center,health
Melrose Houses Child Health Clinic,health
Daniel Webster Houses Child Health Clinic,health
Segundo Ruiz Belvis Diagnostic & Treatment Center,health
Parsons Communicare Clinic,health
Queens Hospital Center,health
Cumberland Diagnostic & Treatment Center,health
Engine 74,fire station
Engine 65,fire station
Marine 1,fire station
Engine 60/Ladder 17/Battalion 14,fire station
Squad 41,fire station
Engine 50/Ladder 19,fire station
Engine 62/Ladder 32,fire station
Engine 38/Ladder 51,fire station
Engine 70/Ladder 53,fire station
precinct 2,police station
precinct 3,police station
precinct 5,police station
precinct 6,police station
precinct 7,police station
precinct 8,police station
precinct 10,police station
precinct 12,police station
precinct 4,police station
precinct 1,police station
precinct 9,police station
precinct 11,police station
